state	|	left	|	right	|	up	|	down
------------------ coin_idx = 7 ----------------
 50	|	0.000	|	-0.027	|	-0.027	|	-1.000
 51	|	-1.000	|	0.973	|	0.973	|	-0.022
 52	|	-0.027	|	1.974	|	1.974	|	0.978
 53	|	0.973	|	2.976	|	2.976	|	1.979
 54	|	1.974	|	-1.000	|	3.978	|	2.981
 55	|	0.000	|	0.000	|	0.000	|	0.000
 56	|	-1.000	|	5.983	|	5.983	|	4.985
 57	|	4.980	|	5.988	|	6.987	|	5.988
 58	|	5.983	|	4.985	|	5.983	|	6.992
 59	|	5.988	|	0.000	|	4.980	|	5.988
 60	|	0.000	|	-0.022	|	-1.000	|	-0.022
 61	|	-1.000	|	0.978	|	-0.027	|	0.978
 62	|	-0.022	|	1.979	|	0.973	|	1.979
 63	|	0.978	|	2.981	|	1.974	|	2.981
 64	|	1.979	|	3.983	|	2.976	|	3.983
 65	|	2.981	|	4.985	|	-1.000	|	4.985
 66	|	3.983	|	5.988	|	4.980	|	5.988
 67	|	4.985	|	6.992	|	5.983	|	6.992
 68	|	5.988	|	5.988	|	5.988	|	7.995
 69	|	6.992	|	0.000	|	4.985	|	6.992
 70	|	0.000	|	0.978	|	-1.000	|	0.978
 71	|	-0.022	|	1.979	|	-0.022	|	1.979
 72	|	0.978	|	2.981	|	0.978	|	2.981
 73	|	1.979	|	3.983	|	1.979	|	3.983
 74	|	2.981	|	4.985	|	2.981	|	4.985
 75	|	3.983	|	5.988	|	3.983	|	5.988
 76	|	4.985	|	6.992	|	4.985	|	6.992
 77	|	5.988	|	7.995	|	5.988	|	7.995
 78	|	6.992	|	6.992	|	6.992	|	9.000
 79	|	7.995	|	0.000	|	5.988	|	7.995
 80	|	0.000	|	1.979	|	-0.022	|	-0.022
 81	|	0.978	|	2.981	|	0.978	|	0.978
 82	|	1.979	|	3.983	|	1.979	|	1.979
 83	|	2.981	|	4.985	|	2.981	|	2.981
 84	|	3.983	|	5.988	|	3.983	|	3.983
 85	|	4.985	|	6.992	|	4.985	|	4.985
 86	|	5.988	|	7.995	|	5.988	|	5.988
 87	|	6.992	|	9.000	|	6.992	|	6.992
 88	|	0.000	|	0.000	|	0.000	|	0.000
 89	|	9.000	|	0.000	|	6.992	|	6.992
 90	|	0.000	|	0.978	|	0.978	|	0.000
 91	|	-0.022	|	1.979	|	1.979	|	0.000
 92	|	0.978	|	2.981	|	2.981	|	0.000
 93	|	1.979	|	3.983	|	3.983	|	0.000
 94	|	2.981	|	4.985	|	4.985	|	0.000
 95	|	3.983	|	5.988	|	5.988	|	0.000
 96	|	4.985	|	6.992	|	6.992	|	0.000
 97	|	5.988	|	7.995	|	7.995	|	0.000
 98	|	6.992	|	6.992	|	9.000	|	0.000
 99	|	7.995	|	0.000	|	7.995	|	0.000
------------------ coin_idx = 4 ----------------
 0	|	0.000	|	-1.000	|	0.000	|	-1.000
 1	|	-1.000	|	-1.000	|	0.000	|	-2.000
 2	|	-1.000	|	-1.000	|	0.000	|	-2.000
 3	|	-1.000	|	-1.000	|	0.000	|	-2.000
 4	|	-1.000	|	-1.000	|	0.000	|	-2.000
 5	|	-1.000	|	-1.000	|	0.000	|	-1.022
